AreaName,Date,NewCasesBySpecimenDate,NewCasesRatePer100k,NewCasesRollingSum,year,month,day
England,2023-12-06,945,9.2,5227,2023,12,6
England,2023-12-03,687,7.9,4493,2023,12,3
England,2023-11-26,506,7,3934,2023,11,26
England,2023-11-20,695,7.5,4252,2023,11,20
England,2023-11-18,449,7.7,4342,2023,11,18
England,2023-11-12,593,7,3942,2023,11,12
England,2023-11-08,693,9,5108,2023,11,8
England,2023-11-07,817,9.3,5280,2023,11,7
England,2023-11-05,683,10,5648,2023,11,5
England,2023-11-04,592,10.3,5812,2023,11,4
England,2023-11-03,734,10.5,5957,2023,11,3
England,2023-11-02,809,10.9,6155,2023,11,2
England,2023-10-30,1011,11.9,6712,2023,10,30
England,2023-10-26,1013,13,7361,2023,10,26
England,2023-10-20,1145,16,9055,2023,10,20
England,2023-10-19,1320,16.6,9377,2023,10,19
England,2023-10-16,1445,18.9,10715,2023,10,16
England,2023-10-14,1120,21.8,12353,2023,10,14
England,2023-10-12,1543,24,13548,2023,10,12
England,2023-10-11,1894,25.2,14259,2023,10,11
England,2023-10-09,2234,27.3,15443,2023,10,9
England,2023-10-08,2068,28,15854,2023,10,8
England,2023-10-04,2447,29.1,16481,2023,10,4
England,2023-10-01,2360,29.5,16657,2023,10,1
England,2023-09-27,2667,26.5,14993,2023,9,27
England,2023-09-24,2007,22.7,12839,2023,9,24
England,2023-09-23,1555,22,12437,2023,9,23
England,2023-09-18,1929,19.3,10922,2023,9,18
England,2023-09-05,1891,19.9,11270,2023,9,5
England,2023-09-04,1969,19,10747,2023,9,4
England,2023-08-30,1488,13.8,7788,2023,8,30
England,2023-08-29,1368,13.1,7396,2023,8,29
England,2023-08-26,856,13,7360,2023,8,26
England,2023-08-24,1098,13,7355,2023,8,24
England,2023-08-22,1177,12.9,7278,2023,8,22
England,2023-08-19,848,12.6,7122,2023,8,19
England,2023-08-18,991,12.6,7127,2023,8,18
England,2023-08-17,1047,12.5,7055,2023,8,17
England,2023-08-13,976,12.2,6881,2023,8,13
England,2023-08-11,919,11.6,6560,2023,8,11
England,2023-08-09,1034,11,6229,2023,8,9
England,2023-08-03,807,9.4,5330,2023,8,3
England,2023-07-30,752,8,4534,2023,7,30
England,2023-07-27,629,6.9,3879,2023,7,27
England,2023-07-25,647,6.4,3593,2023,7,25
England,2023-07-24,630,6.1,3463,2023,7,24
England,2023-07-22,412,5.7,3213,2023,7,22
England,2023-07-20,497,5.4,3035,2023,7,20
England,2023-07-16,384,5,2804,2023,7,16
England,2023-07-13,417,4.9,2791,2023,7,13
England,2023-07-12,418,4.8,2690,2023,7,12
England,2023-07-11,450,4.6,2616,2023,7,11
England,2023-07-06,316,3.6,2024,2023,7,6
England,2023-07-05,344,3.5,1961,2023,7,5
England,2023-06-29,253,3.5,2003,2023,6,29
England,2023-06-28,298,3.7,2096,2023,6,28
England,2023-06-26,306,4,2270,2023,6,26
England,2023-06-25,303,4.2,2385,2023,6,25
England,2023-06-23,289,4.4,2506,2023,6,23
England,2023-06-18,350,5.2,2965,2023,6,18
England,2023-06-14,463,6.2,3503,2023,6,14
England,2023-06-08,578,7.9,4488,2023,6,8
England,2023-06-04,615,8.3,4678,2023,6,4
England,2023-05-30,780,9.1,5140,2023,5,30
England,2023-05-27,567,10.7,6035,2023,5,27
England,2023-05-16,1069,13.1,7431,2023,5,16
England,2023-05-15,1139,13.8,7809,2023,5,15
England,2023-05-13,782,14.3,8077,2023,5,13
England,2023-05-11,1196,15,8479,2023,5,11
England,2023-05-08,1328,16.5,9351,2023,5,8
England,2023-05-05,1198,17.8,10082,2023,5,5
England,2023-05-03,1526,18.2,10288,2023,5,3
England,2023-05-02,1777,18.3,10331,2023,5,2
England,2023-04-28,1369,18.4,10385,2023,4,28
England,2023-04-27,1514,18.3,10359,2023,4,27
England,2023-04-24,1706,18.9,10667,2023,4,24
England,2023-04-19,1704,21.3,12058,2023,4,19
England,2023-04-18,1803,21.9,12409,2023,4,18
England,2023-04-16,1788,22.9,12961,2023,4,16
England,2023-04-15,1271,22.7,12816,2023,4,15
England,2023-04-11,2281,23.7,13390,2023,4,11
England,2023-04-06,1966,27.7,15686,2023,4,6
England,2023-03-30,3050,41.8,23657,2023,3,30
England,2023-03-26,3156,48.5,27417,2023,3,26
England,2023-03-25,2748,49.4,27944,2023,3,25
England,2023-03-20,4730,51.3,29031,2023,3,20
England,2023-03-16,4351,52.7,29786,2023,3,16
England,2023-03-11,3084,48,27142,2023,3,11
England,2023-03-08,4318,46.1,26063,2023,3,8
England,2023-03-07,4455,45.5,25718,2023,3,7
England,2023-02-25,2529,44.7,25284,2023,2,25
England,2023-02-22,3855,47.5,26860,2023,2,22
England,2023-02-20,4552,47.6,26929,2023,2,20
England,2023-02-19,3435,47.6,26926,2023,2,19
England,2023-02-14,4356,41.8,23650,2023,2,14
England,2023-02-13,4549,40.1,22689,2023,2,13
England,2023-02-12,2920,38.5,21761,2023,2,12
England,2023-02-11,2396,37.9,21457,2023,2,11
England,2023-02-09,3043,37.1,20984,2023,2,9
England,2023-02-03,2751,34.5,19522,2023,2,3
England,2023-01-29,2249,28.3,16013,2023,1,29
England,2023-01-24,2550,23.8,13487,2023,1,24
England,2023-01-21,1400,22.6,12776,2023,1,21
England,2023-01-20,1699,22.5,12703,2023,1,20
England,2023-01-17,1988,24.4,13777,2023,1,17
England,2023-01-13,1905,30.8,17415,2023,1,13
England,2023-01-10,2803,41.6,23522,2023,1,10
England,2023-01-07,2417,50.8,28719,2023,1,7
England,2023-01-05,4168,57.1,32305,2023,1,5
England,2022-12-30,5524,66.7,37721,2022,12,30
England,2022-12-29,6953,66.2,37422,2022,12,29
England,2022-12-28,7609,64.9,36710,2022,12,28
England,2022-12-27,5977,63.9,36143,2022,12,27
England,2022-12-19,8240,72.9,41244,2022,12,19
England,2022-12-18,5212,69.6,39360,2022,12,18
England,2022-12-17,4273,67.9,38371,2022,12,17
England,2022-12-15,5549,63.1,35683,2022,12,15
England,2022-12-09,3824,49.6,28057,2022,12,9
England,2022-12-08,4092,48.6,27508,2022,12,8
England,2022-12-07,4640,47.1,26630,2022,12,7
England,2022-12-04,3409,42.8,24196,2022,12,4
England,2022-12-03,2481,42.3,23939,2022,12,3
England,2022-12-02,3275,42,23762,2022,12,2
England,2022-11-30,3608,40.5,22918,2022,11,30
England,2022-11-24,3007,36.4,20568,2022,11,24
England,2022-11-17,2703,34.8,19671,2022,11,17
England,2022-11-15,3160,35.4,20026,2022,11,15
England,2022-11-11,2562,37.3,21103,2022,11,11
England,2022-11-04,2760,44.9,25398,2022,11,4
England,2022-11-01,4091,51.3,28990,2022,11,1
England,2022-10-31,4633,53.2,30080,2022,10,31
England,2022-10-28,3916,60.3,34078,2022,10,28
England,2022-10-24,6147,74.7,42228,2022,10,24
England,2022-10-20,6075,89.6,50693,2022,10,20
England,2022-10-17,9304,96.2,54377,2022,10,17
England,2022-10-12,8124,103.4,58487,2022,10,12
England,2022-10-10,9835,108.5,61372,2022,10,10
England,2022-10-09,8014,110.4,62418,2022,10,9
England,2022-10-07,8333,111.4,63010,2022,10,7
England,2022-09-25,6737,78.1,44188,2022,9,25
England,2022-09-24,5309,73.2,41394,2022,9,24
England,2022-09-22,6294,65.4,36996,2022,9,22
England,2022-09-19,5702,52.7,29816,2022,9,19
England,2022-09-15,4200,49.3,27866,2022,9,15
England,2022-09-14,4453,47.6,26916,2022,9,14
England,2022-09-09,3103,44.5,25157,2022,9,9
England,2022-09-08,3250,44.7,25293,2022,9,8
England,2022-09-04,3759,46.2,26113,2022,9,4
England,2022-08-25,3266,45.8,25928,2022,8,25
England,2022-08-22,4575,49.4,27928,2022,8,22
England,2022-08-20,3059,53.4,30193,2022,8,20
England,2022-08-14,4781,68.4,38677,2022,8,14
England,2022-08-09,6462,78.2,44239,2022,8,9
England,2022-08-07,5897,84,47530,2022,8,7
England,2022-08-05,5859,90.3,51065,2022,8,5
England,2022-08-03,7419,96.6,54606,2022,8,3
England,2022-07-31,7672,109.7,62054,2022,7,31
England,2022-07-29,7585,118.3,66895,2022,7,29
England,2022-07-26,10482,141.5,80037,2022,7,26
England,2022-07-24,10216,158.1,89411,2022,7,24
England,2022-07-21,12791,185.9,105114,2022,7,21
England,2022-07-17,15702,245,138559,2022,7,17
England,2022-07-16,13677,258,145903,2022,7,16
England,2022-07-15,16626,268,151580,2022,7,15
England,2022-07-13,21639,286.2,161836,2022,7,13
England,2022-07-12,24377,295.2,166938,2022,7,12
England,2022-07-11,27198,301.8,170679,2022,7,11
England,2022-07-08,22173,311.6,176227,2022,7,8
England,2022-07-07,24049,309.7,175121,2022,7,7
England,2022-07-05,28118,296.3,167564,2022,7,5
England,2022-07-03,25172,270.2,152823,2022,7,3
England,2022-06-29,21720,230.5,130326,2022,6,29
England,2022-06-26,18039,207,117054,2022,6,26
England,2022-06-25,14478,200.8,113539,2022,6,25
England,2022-06-24,15626,195.7,110695,2022,6,24
England,2022-06-23,16698,188.7,106709,2022,6,23
England,2022-06-21,17531,170.7,96549,2022,6,21
England,2022-06-16,11915,138.4,78255,2022,6,16
England,2022-06-13,12954,124.3,70318,2022,6,13
England,2022-06-11,8468,114.6,64794,2022,6,11
England,2022-06-09,9589,104.4,59032,2022,6,9
England,2022-06-07,9484,88.9,50283,2022,6,7
England,2022-06-03,5581,65.2,36875,2022,6,3
England,2022-06-01,5711,62.8,35526,2022,6,1
England,2022-05-31,5734,61.9,35004,2022,5,31
England,2022-05-30,5928,61.6,34863,2022,5,30
England,2022-05-27,4494,63.2,35737,2022,5,27
England,2022-05-22,5151,73.1,41336,2022,5,22
England,2022-05-21,4243,75.9,42915,2022,5,21
England,2022-05-20,5049,77.5,43811,2022,5,20
England,2022-05-19,5785,78.8,44556,2022,5,19
England,2022-05-17,6833,81.4,46020,2022,5,17
England,2022-05-12,6376,92.3,52207,2022,5,12
England,2022-05-10,8154,100.7,56941,2022,5,10
England,2022-05-01,7718,117.5,66446,2022,5,1
England,2022-04-27,10120,149.1,84302,2022,4,27
England,2022-04-26,11293,161.2,91155,2022,4,26
England,2022-04-19,20595,243.6,137761,2022,4,19
England,2022-04-18,20566,255.6,144548,2022,4,18
England,2022-04-17,16262,273.3,154579,2022,4,17
England,2022-04-16,16091,289.9,163958,2022,4,16
England,2022-04-11,30597,381.4,215671,2022,4,11
England,2022-04-08,27391,439.9,248775,2022,4,8
England,2022-03-29,67441,818,462586,2022,3,29
England,2022-03-27,58000,862.9,487988,2022,3,27
England,2022-03-26,51776,878.7,496895,2022,3,26
England,2022-03-24,68604,887.7,501978,2022,3,24
England,2022-03-22,81845,879.6,497412,2022,3,22
England,2022-03-18,61904,825.1,466592,2022,3,18
England,2022-03-16,73951,784.4,443569,2022,3,16
England,2022-03-13,60271,662.8,374816,2022,3,13
England,2022-03-12,49161,619.7,350459,2022,3,12
England,2022-03-11,52270,583.2,329807,2022,3,11
England,2022-03-09,55491,504.6,285377,2022,3,9
England,2022-03-08,52343,465.5,263247,2022,3,8
England,2022-03-07,50982,429.3,242768,2022,3,7
England,2022-03-02,33361,315.2,178274,2022,3,2
England,2022-02-27,22165,297.5,168246,2022,2,27
England,2022-02-25,19533,324.2,183317,2022,2,25
England,2022-02-24,21882,333.7,188707,2022,2,24
England,2022-02-23,26009,355.4,200993,2022,2,23
England,2022-02-17,34168,446.8,252660,2022,2,17
England,2022-02-16,39445,459.5,259823,2022,2,16
England,2022-02-11,34944,599.1,338778,2022,2,11
England,2022-02-05,43233,841.2,475722,2022,2,5
England,2022-02-01,78511,977.2,552636,2022,2,1
England,2022-01-30,74980,1046.5,591811,2022,1,30
England,2022-01-28,71682,1083.7,612848,2022,1,28
England,2022-01-26,93211,1104.4,624563,2022,1,26
England,2022-01-25,96955,1111.7,628687,2022,1,25
England,2022-01-20,86951,1115.8,630964,2022,1,20
England,2022-01-16,85599,1096.5,620048,2022,1,16
England,2022-01-15,67821,1092,617530,2022,1,15
England,2022-01-14,75174,1115.7,630930,2022,1,14
England,2022-01-10,116343,1689.1,955182,2022,1,10
England,2022-01-08,81221,1941.6,1097984,2022,1,8
England,2022-01-03,193617,2089.9,1181858,2022,1,3
England,2022-01-01,99303,1934.8,1094117,2022,1,1
England,2021-12-30,192825,1802.6,1019401,2021,12,30
England,2021-12-24,117562,1409.9,797328,2021,12,24
England,2021-12-14,90717,706.3,399425,2021,12,14
England,2021-12-13,76507,631,356854,2021,12,13
England,2021-12-11,41940,566.1,320140,2021,12,11
England,2021-12-09,48817,540.7,305784,2021,12,9
England,2021-12-05,35037,519,293518,2021,12,5
England,2021-12-02,43045,498.4,281861,2021,12,2
England,2021-12-01,47263,488,275959,2021,12,1
England,2021-11-25,37143,452.2,255721,2021,11,25
England,2021-11-23,41015,449.3,254053,2021,11,23
England,2021-11-22,42869,445.1,251694,2021,11,22
England,2021-11-19,33184,436.1,246630,2021,11,19
England,2021-11-18,37099,432.9,244783,2021,11,18
England,2021-11-17,38257,426.8,241384,2021,11,17
England,2021-11-15,42477,414.7,234540,2021,11,15
England,2021-11-13,27358,396.2,224049,2021,11,13
England,2021-11-12,31337,387.7,219272,2021,11,12
England,2021-11-09,34679,353.7,200025,2021,11,9
England,2021-11-08,36138,347.8,196674,2021,11,8
England,2021-11-07,25447,350.5,198199,2021,11,7
England,2021-11-05,24405,367.8,207978,2021,11,5
England,2021-10-31,29564,422,238637,2021,10,31
England,2021-10-29,33995,425.6,240668,2021,10,29
England,2021-10-28,35077,426.5,241179,2021,10,28
England,2021-10-27,36524,432.7,244683,2021,10,27
England,2021-10-26,35276,445.8,252122,2021,10,26
England,2021-10-22,34506,495.3,280077,2021,10,22
England,2021-10-19,44630,494.2,279467,2021,10,19
England,2021-10-18,49257,487.6,275729,2021,10,18
England,2021-10-13,40547,433.7,245239,2021,10,13
England,2021-10-09,27180,384.8,217615,2021,10,9
England,2021-10-07,32158,365.3,206594,2021,10,7
England,2021-10-06,32547,355.9,201244,2021,10,6
England,2021-10-04,36475,344.4,194745,2021,10,4
England,2021-10-03,27138,341.1,192865,2021,10,3
England,2021-10-01,24134,343.2,194057,2021,10,1
England,2021-09-28,29628,348.9,197308,2021,9,28
England,2021-09-26,26814,346.2,195753,2021,9,26
England,2021-09-25,23389,342.6,193728,2021,9,25
England,2021-09-21,30547,310.3,175492,2021,9,21
England,2021-09-18,20926,271.9,153754,2021,9,18
England,2021-09-15,22414,266.2,150560,2021,9,15
England,2021-09-13,25199,281.3,159102,2021,9,13
England,2021-09-12,17879,295.4,167038,2021,9,12
England,2021-09-10,21031,316.7,179069,2021,9,10
England,2021-09-09,24440,330.3,186768,2021,9,9
England,2021-09-08,25659,341.2,192964,2021,9,8
England,2021-09-04,23409,339.6,192065,2021,9,4
England,2021-09-02,30636,325.9,184317,2021,9,2
England,2021-09-01,31600,318.6,180163,2021,9,1
England,2021-08-28,20138,317.8,179728,2021,8,28
England,2021-08-25,27901,329.1,186096,2021,8,25
England,2021-08-21,22605,339.4,191903,2021,8,21
England,2021-08-20,25555,337.1,190634,2021,8,20
England,2021-08-17,31095,329.6,186389,2021,8,17
England,2021-08-16,30861,323.4,182904,2021,8,16
England,2021-08-13,24992,314.5,177833,2021,8,13
England,2021-08-04,28895,295.6,167171,2021,8,4
England,2021-08-01,18714,290.2,164127,2021,8,1
England,2021-07-30,22109,295.1,166896,2021,7,30
England,2021-07-29,25361,299.5,169373,2021,7,29
England,2021-07-25,19657,359.4,203254,2021,7,25
England,2021-07-19,43401,555.5,314134,2021,7,19
England,2021-07-16,51138,522.7,295594,2021,7,16
England,2021-07-11,27418,367.7,207924,2021,7,11
England,2021-07-10,25411,357.8,202312,2021,7,10
England,2021-07-01,24267,245.4,138763,2021,7,1
England,2021-06-27,15407,176.8,99954,2021,6,27
England,2021-06-26,13486,164,92750,2021,6,26
England,2021-06-24,15084,141.9,80262,2021,6,24
England,2021-06-23,14806,132.1,74701,2021,6,23
England,2021-06-15,9153,88,49738,2021,6,15
England,2021-06-12,5422,77.3,43720,2021,6,12
England,2021-06-06,4730,55.6,31435,2021,6,6
England,2021-06-04,4886,49.2,27801,2021,6,4
England,2021-06-02,5039,42.1,23788,2021,6,2
England,2021-05-31,3170,35.7,20210,2021,5,31
England,2021-05-27,3075,30.4,17197,2021,5,27
England,2021-05-20,2000,23.5,13276,2021,5,20
England,2021-05-16,1587,21.6,12236,2021,5,16
England,2021-05-15,1306,22.3,12634,2021,5,15
England,2021-05-12,1869,22.9,12976,2021,5,12
England,2021-05-10,2325,24.1,13638,2021,5,10
England,2021-05-09,1985,23.2,13119,2021,5,9
England,2021-05-07,1657,21.8,12349,2021,5,7
England,2021-05-05,2203,21.5,12154,2021,5,5
England,2021-05-01,1211,22.6,12766,2021,5,1
England,2021-04-30,1528,22.7,12855,2021,4,30
England,2021-04-26,2267,24.1,13607,2021,4,26
England,2021-04-24,1300,24.7,13992,2021,4,24
England,2021-04-18,2281,25,14128,2021,4,18
England,2021-04-17,1398,24.5,13867,2021,4,17
England,2021-04-14,2068,27.7,15689,2021,4,14
England,2021-04-13,2060,29,16373,2021,4,13
England,2021-04-11,2020,30,16984,2021,4,11
England,2021-04-10,2009,30.1,17006,2021,4,10
England,2021-04-09,2482,30.3,17118,2021,4,9
England,2021-04-08,2651,29.9,16884,2021,4,8
England,2021-04-07,2752,30.6,17300,2021,4,7
England,2021-04-04,2042,34.3,19375,2021,4,4
England,2021-03-29,3422,52,29399,2021,3,29
England,2021-03-25,4674,57.4,32487,2021,3,25
England,2021-03-23,4566,57,32229,2021,3,23
England,2021-03-22,5400,57.6,32596,2021,3,22
England,2021-03-20,3514,56.4,31867,2021,3,20
England,2021-03-19,4333,56.5,31945,2021,3,19
England,2021-03-18,4689,57.3,32379,2021,3,18
England,2021-03-17,5048,57.5,32538,2021,3,17
England,2021-03-08,5818,60.7,34321,2021,3,8
England,2021-03-07,3677,61.4,34718,2021,3,7
England,2021-03-06,3832,62.2,35153,2021,3,6
England,2021-03-04,5011,65,36730,2021,3,4
England,2021-03-03,5305,68.4,38653,2021,3,3
England,2021-03-02,5950,72.4,40969,2021,3,2
England,2021-02-24,7621,106.4,60179,2021,2,24
England,2021-02-22,10279,116.2,65709,2021,2,22
England,2021-02-14,7781,137.5,77767,2021,2,14
England,2021-02-12,10986,147.4,83369,2021,2,12
England,2021-02-11,11637,153.6,86844,2021,2,11
England,2021-02-10,12272,162.6,91924,2021,2,10
England,2021-02-03,17948,228.9,129454,2021,2,3
England,2021-02-02,18193,239.4,135405,2021,2,2
England,2021-01-28,22523,289.4,163653,2021,1,28
England,2021-01-26,25210,317.5,179543,2021,1,26
England,2021-01-23,20425,382.7,216444,2021,1,23
England,2021-01-18,41935,465.3,263132,2021,1,18
England,2021-01-17,26976,485.8,274716,2021,1,17
England,2021-01-13,42303,536.8,303584,2021,1,13
England,2021-01-12,45968,555.3,314033,2021,1,12
England,2021-01-08,43494,673.7,380990,2021,1,8
England,2021-01-07,48132,647.9,366375,2021,1,7
England,2021-01-01,28879,595.2,336561,2021,1,1
England,2020-12-29,74058,488.4,276211,2020,12,29
England,2020-12-27,43250,435.9,246495,2020,12,27
England,2020-12-26,37462,411.7,232801,2020,12,26
England,2020-12-25,12926,384.7,217534,2020,12,25
England,2020-12-22,41741,407,230173,2020,12,22
England,2020-12-21,43446,385.6,218084,2020,12,21
England,2020-12-14,30019,244.7,138404,2020,12,14
England,2020-12-10,18850,186.7,105596,2020,12,10
England,2020-12-03,12762,152.5,86257,2020,12,3
England,2020-12-02,13662,152,85954,2020,12,2
England,2020-11-20,14960,220.7,124827,2020,11,20
England,2020-11-17,20677,256.3,144918,2020,11,17
England,2020-11-16,24136,263.6,149077,2020,11,16
England,2020-11-13,22008,279.3,157949,2020,11,13
England,2020-11-12,22320,277.8,157120,2020,11,12
England,2020-11-11,25065,275.9,156006,2020,11,11
England,2020-11-09,28560,265,149848,2020,11,9
England,2020-11-07,16888,256.4,145021,2020,11,7
England,2020-11-05,21206,250.1,141418,2020,11,5
England,2020-11-03,22690,247.5,139963,2020,11,3
England,2020-11-01,13611,234.6,132674,2020,11,1
England,2020-10-29,20257,229.9,130024,2020,10,29
England,2020-10-26,23033,232.9,131724,2020,10,26
England,2020-10-23,18359,227.2,128463,2020,10,23
England,2020-10-15,15428,172.2,97395,2020,10,15
England,2020-10-13,15660,170.1,96191,2020,10,13
England,2020-10-11,9781,164.1,92787,2020,10,11
England,2020-10-03,9820,118.8,67203,2020,10,3
England,2020-09-30,10663,92.6,52390,2020,9,30
England,2020-09-29,8832,84.3,47660,2020,9,29
England,2020-09-26,5704,68.8,38882,2020,9,26
England,2020-09-18,4290,38.9,21991,2020,9,18
England,2020-09-17,3979,36.4,20594,2020,9,17
England,2020-09-10,3143,34.6,19553,2020,9,10
England,2020-09-06,2079,27.5,15569,2020,9,6
England,2020-09-05,2200,25.6,14477,2020,9,5
England,2020-09-04,2637,23.6,13328,2020,9,4
England,2020-09-02,2696,19,10726,2020,9,2
England,2020-08-28,1395,13.5,7609,2020,8,28
England,2020-08-23,704,12.3,6944,2020,8,23
England,2020-08-22,732,12,6774,2020,8,22
England,2020-08-19,1109,11.5,6508,2020,8,19
England,2020-08-18,955,11.5,6525,2020,8,18
England,2020-08-17,1159,12.1,6817,2020,8,17
England,2020-08-16,534,12.4,7033,2020,8,16
England,2020-08-09,569,10.6,6015,2020,8,9
England,2020-08-05,973,9.6,5450,2020,8,5
England,2020-07-27,824,8.4,4763,2020,7,27
England,2020-07-26,518,8.3,4708,2020,7,26
England,2020-07-14,661,7.1,4032,2020,7,14
England,2020-07-06,664,6.9,3875,2020,7,6
England,2020-07-05,544,6.9,3877,2020,7,5
England,2020-07-02,561,7,3971,2020,7,2
England,2020-06-30,578,7.4,4178,2020,6,30
England,2020-06-27,506,8.2,4619,2020,6,27
England,2020-06-22,821,10,5663,2020,6,22
England,2020-06-19,818,10.9,6147,2020,6,19
England,2020-06-10,1086,11.8,6700,2020,6,10
England,2020-06-05,1020,14.3,8096,2020,6,5
England,2020-06-02,1365,16.3,9243,2020,6,2
England,2020-05-30,1010,17,9631,2020,5,30
England,2020-05-29,1374,17.6,9930,2020,5,29
England,2020-05-25,1389,22.9,12940,2020,5,25
England,2020-05-23,1309,25,14164,2020,5,23
England,2020-05-20,2359,26.4,14928,2020,5,20
England,2020-05-19,2602,27.4,15468,2020,5,19
England,2020-05-17,1593,29.5,16668,2020,5,17
England,2020-05-15,2145,30.2,17104,2020,5,15
England,2020-05-13,2899,32.8,18564,2020,5,13
England,2020-05-06,3264,40.8,23096,2020,5,6
England,2020-05-02,2762,48.1,27228,2020,5,2
England,2020-04-30,4314,49.7,28090,2020,4,30
England,2020-04-29,4737,50.1,28350,2020,4,29
England,2020-04-27,4056,50.1,28308,2020,4,27
England,2020-04-24,4352,51.4,29068,2020,4,24
England,2020-04-18,4142,47.4,26819,2020,4,18
England,2020-04-17,4088,45.6,25762,2020,4,17
England,2020-04-09,4076,49.5,28004,2020,4,9
England,2020-04-06,4407,47.9,27071,2020,4,6
England,2020-04-02,4097,40.8,23078,2020,4,2
England,2020-03-26,2633,21.8,12316,2020,3,26
England,2020-03-21,1040,9.9,5611,2020,3,21
England,2020-03-20,1096,8.6,4886,2020,3,20
England,2020-03-14,315,3.4,1901,2020,3,14
England,2020-03-09,127,0.8,454,2020,3,9
England,2020-03-08,50,0.6,367,2020,3,8
England,2020-03-06,74,0.5,284,2020,3,6
England,2020-03-02,40,0.1,84,2020,3,2
England,2020-02-27,7,NA,21,2020,2,27
England,2020-02-24,2,NA,10,2020,2,24
England,2020-02-21,2,NA,3,2020,2,21
England,2020-02-18,0,NA,3,2020,2,18
England,2020-02-13,1,NA,11,2020,2,13
England,2020-02-12,1,NA,10,2020,2,12
England,2020-02-09,1,NA,23,2020,2,9
England,2020-02-08,3,NA,23,2020,2,8
England,2020-02-07,0,NA,20,2020,2,7
